session_id,session_z,hits,first_at_trial,at_count,t1_thinking_chars,mean_t2plus_thinking_chars,mean_stmt_chars,ats_total,ats_section_a,ats_section_b,ranking_rho,s1_rankings_valid,s2_rankings_valid,irr_pct_agreement,irr_kappa,B3_probe_q9,probe_length,depth_L3_count,batch_id_scored
20260322_210412_CA_FORMAL,-1.9898,2,3,8,153,56.0,292.9,13,7,6,-0.2814,True,True,0.8888888888888888,0.7692307692307692,2,3506,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_210600_CA_FORMAL,0.2247,6,2,9,152,27.6,209.3,11,5,6,-0.6728,True,True,0.8888888888888888,0.7857142857142856,2,3685,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_210735_CA_FORMAL,-0.6269,5,3,8,217,63.1,222.7,8,2,6,-0.1223,True,True,0.5555555555555556,0.4000000000000001,2,3295,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_210910_CA_FORMAL,-0.8905,4,2,9,167,40.1,212.4,11,5,6,-0.4424,True,True,1.0,1.0,2,4391,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_211053_CA_FORMAL,-0.3299,5,2,9,185,28.6,176.9,10,4,6,-0.2805,True,True,0.8888888888888888,0.82,2,3185,7,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_211222_CA_FORMAL,-1.0112,5,2,9,185,49.9,214.7,12,6,6,-0.357,True,True,0.7777777777777778,0.5909090909090909,2,3637,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_211357_CA_FORMAL,-0.813,4,2,9,209,31.0,192.1,11,5,6,-0.1651,True,True,0.8888888888888888,0.7857142857142856,2,3544,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_211536_CA_FORMAL,0.5409,6,2,9,167,43.0,240.0,14,8,6,-0.061,True,True,0.8888888888888888,0.7804878048780487,2,3531,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_211713_CA_FORMAL,0.7565,5,2,9,161,53.6,239.8,11,5,6,-0.5,True,True,1.0,1.0,2,3575,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_211843_CA_FORMAL,0.0723,5,2,9,176,24.8,165.3,13,7,6,-0.3476,True,True,0.8888888888888888,0.7692307692307692,2,3023,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_212008_CA_FORMAL,0.7031,6,2,9,164,50.6,308.8,11,5,6,-0.25,True,True,1.0,1.0,2,3666,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_212140_CA_FORMAL,0.0779,6,4,7,209,74.9,203.9,11,5,6,0.2638,True,True,0.8888888888888888,0.7857142857142856,2,3330,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_212314_CA_FORMAL,-0.2649,5,3,7,160,77.7,193.5,11,5,6,0.2385,True,True,1.0,1.0,2,3684,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_212445_CA_FORMAL,-1.1952,3,2,9,113,33.8,222.1,12,6,6,-0.1037,True,True,0.7777777777777778,0.5909090909090909,2,3392,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_212618_CA_FORMAL,0.0,6,3,8,160,78.0,212.5,12,6,6,0.2927,True,True,1.0,1.0,2,3622,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_212754_CA_FORMAL,-0.0021,6,4,7,231,84.8,253.8,11,5,6,-0.2378,True,True,0.8888888888888888,0.7857142857142856,2,3612,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_212933_CA_FORMAL,0.7625,5,2,9,198,37.9,190.9,12,6,6,0.159,True,True,0.7777777777777778,0.5909090909090909,2,4080,8,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_213106_CA_FORMAL,1.2375,7,4,7,158,56.9,225.6,12,6,6,-0.4085,True,True,0.7777777777777778,0.6000000000000001,2,3421,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_213236_CA_FORMAL,-0.1673,5,3,8,185,75.2,261.6,12,6,6,0.2067,True,True,0.6666666666666666,0.35714285714285704,2,3490,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
